year,region,New dwellings,Average advance (new),Average income (new),Other dwellings,Average advance (other),Average income (other),All dwellings,Average advance (all),Average income (all)
2002.0,North East,121750.0,89250.0,37250.0,73250.0,52500.0,26000.0,78250.0,55750.0,27000.0
2002.0,North West,127500.0,90250.0,39500.0,88250.0,63000.0,30000.0,91500.0,65500.0,30750.0
2002.0,Northern Ireland,106500.0,74000.0,38000.0,78750.0,59500.0,25500.0,83750.0,61500.0,28250.0
2002.0,Scotland,109750.0,80750.0,37000.0,72000.0,55750.0,27500.0,76500.0,58750.0,28500.0
2002.0,South East,229000.0,142000.0,55250.0,174500.0,106500.0,42750.0,178250.0,109000.0,43500.0
2002.0,South West,165750.0,100250.0,44250.0,138750.0,83000.0,36750.0,141250.0,85000.0,37250.0
2002.0,United Kingdom,156250.0,103000.0,43750.0,124250.0,81750.0,35250.0,127250.0,84250.0,36250.0
2002.0,Wales,149500.0,83250.0,37000.0,83250.0,59500.0,28250.0,88250.0,61500.0,29000.0
2002.0,West Midlands,156000.0,104500.0,44500.0,107000.0,70500.0,32000.0,111250.0,73250.0,33000.0
2002.0,Yorkshire and the Humber,132750.0,90000.0,39750.0,83000.0,59000.0,28250.0,87750.0,62250.0,29250.0
2003.0,East Midlands,166250.0,109250.0,45500.0,125500.0,80750.0,34500.0,128750.0,83250.0,35500.0
2003.0,East of England,223250.0,139000.0,54000.0,177500.0,109000.0,42000.0,180500.0,111500.0,43000.0
2003.0,London,310000.0,209500.0,79000.0,233750.0,153250.0,55250.0,236750.0,155500.0,56750.0
2003.0,North East,153500.0,110750.0,40250.0,95250.0,65750.0,30000.0,99000.0,68250.0,30500.0
2003.0,North West,155750.0,109750.0,45250.0,111000.0,75000.0,32750.0,113500.0,77250.0,33750.0
2003.0,Northern Ireland,115250.0,78750.0,35500.0,91000.0,62250.0,26750.0,95000.0,64500.0,28000.0
2003.0,Scotland,137250.0,93500.0,41750.0,90250.0,65000.0,30250.0,95000.0,68000.0,31500.0
2003.0,South East,259750.0,158250.0,56750.0,208500.0,125750.0,47250.0,210750.0,127750.0,48000.0
2003.0,South West,200000.0,120500.0,48750.0,169500.0,99750.0,39500.0,170500.0,101000.0,40000.0
2003.0,United Kingdom,183500.0,120000.0,47750.0,148750.0,95000.0,38250.0,151000.0,96750.0,39000.0
2003.0,Wales,150000.0,100000.0,45000.0,108000.0,71500.0,31250.0,111000.0,73500.0,32000.0
2003.0,West Midlands,183750.0,118500.0,45750.0,131250.0,84000.0,34250.0,133750.0,85750.0,35250.0
2003.0,Yorkshire and the Humber,156000.0,104250.0,43000.0,109250.0,73000.0,32500.0,112000.0,75250.0,33000.0
2004.0,East Midlands,189750.0,123000.0,47250.0,151250.0,95000.0,35000.0,154250.0,95250.0,36000.0
2004.0,East of England,238750.0,149000.0,52500.0,199250.0,121500.0,41250.0,203000.0,121000.0,41750.0
2004.0,London,310500.0,218000.0,73500.0,268750.0,172750.0,55000.0,272750.0,174000.0,56500.0
2004.0,North East,181000.0,121500.0,45250.0,123500.0,79750.0,31500.0,126250.0,79500.0,32250.0
2004.0,North West,179000.0,124000.0,51000.0,136750.0,88750.0,33500.0,139250.0,89500.0,34750.0
2004.0,Northern Ireland,127500.0,87000.0,39500.0,107750.0,71250.0,29250.0,110000.0,73750.0,30500.0
2004.0,Scotland,157500.0,108000.0,48250.0,115000.0,74000.0,33000.0,119000.0,76250.0,34000.0
2004.0,South East,280250.0,173250.0,60250.0,233000.0,138500.0,45250.0,237000.0,137750.0,46500.0
2004.0,South West,217000.0,129750.0,48250.0,195750.0,112000.0,39000.0,198000.0,109750.0,39750.0
2004.0,United Kingdom,208000.0,135750.0,51250.0,177250.0,110000.0,39000.0,180250.0,109750.0,39750.0
2004.0,Wales,183250.0,116000.0,45500.0,134500.0,84250.0,32750.0,138000.0,84500.0,34000.0
2004.0,West Midlands,193750.0,129500.0,47750.0,158000.0,98750.0,35500.0,161750.0,98250.0,36750.0
2004.0,Yorkshire and the Humber,178250.0,119000.0,47250.0,135000.0,86250.0,33250.0,137500.0,86750.0,34250.0
2005.0,East Midlands,191250.0,127000.0,47500.0,158750.0,104750.0,38250.0,161250.0,104750.0,39000.0
2005.0,East of England,240500.0,154750.0,57000.0,209500.0,132500.0,45000.0,211750.0,131750.0,45750.0
2005.0,London,314250.0,215500.0,76250.0,279750.0,189500.0,60750.0,282500.0,189250.0,61750.0
2005.0,North East,184250.0,123750.0,47250.0,132250.0,89500.0,34250.0,135000.0,89500.0,34750.0
2005.0,North West,191000.0,132750.0,51250.0,146500.0,99000.0,36750.0,149500.0,99500.0,37750.0
2005.0,Northern Ireland,150500.0,92500.0,39000.0,124500.0,85500.0,33750.0,129500.0,86750.0,35000.0
2005.0,Scotland,176000.0,116000.0,47750.0,125000.0,83500.0,35750.0,129500.0,85250.0,36500.0
2005.0,South East,276500.0,174000.0,62000.0,240500.0,150250.0,49750.0,243500.0,149500.0,50500.0
2005.0,South West,220750.0,138750.0,51000.0,201750.0,123500.0,42500.0,204750.0,121250.0,43250.0
2005.0,United Kingdom,211750.0,138250.0,52250.0,188500.0,122750.0,43000.0,190750.0,122000.0,43500.0
2005.0,Wales,195500.0,124500.0,48250.0,146000.0,96000.0,35500.0,150000.0,96750.0,36500.0
2005.0,West Midlands,197000.0,127250.0,48250.0,166000.0,108750.0,38250.0,168750.0,107750.0,39250.0
2005.0,Yorkshire and the Humber,183000.0,122000.0,46750.0,145500.0,97750.0,36500.0,148250.0,98000.0,37250.0
2006.0,East Midlands,193500.0,132000.0,48000.0,162750.0,112500.0,42000.0,164500.0,113750.0,42000.0
2006.0,East of England,249250.0,162750.0,60750.0,219750.0,144000.0,52250.0,221000.0,145000.0,53000.0
2006.0,London,277000.0,182000.0,69250.0,307000.0,212750.0,76500.0,305500.0,211750.0,76500.0
2006.0,North East,188500.0,133000.0,46750.0,138500.0,99000.0,38250.0,141500.0,100750.0,38750.0
2006.0,North West,196000.0,139000.0,51750.0,156000.0,110500.0,41500.0,157500.0,111500.0,42000.0
2006.0,Northern Ireland,202000.0,120000.0,45500.0,162000.0,105750.0,40000.0,169250.0,108250.0,41500.0
2006.0,Scotland,190000.0,132250.0,50250.0,133750.0,98000.0,39250.0,137250.0,100000.0,40000.0
